agent_id,year,total_work_hours,starting_date,total_commission
21,2012,960,24/6/2002,1673
21,2013,1471,24/6/2002,5297
21,2014,1006,24/6/2002,3467
21,2015,1610,24/6/2002,7587
21,2016,673,24/6/2002,2800
21,2017,427,24/6/2002,1928
22,2011,341,25/2/2011,692
22,2012,525,25/2/2011,2582
22,2013,230,25/2/2011,425
22,2014,196,25/2/2011,783
22,2015,669,25/2/2011,3343
22,2016,1651,25/2/2011,5860
22,2017,1418,25/2/2011,1638
23,2007,1108,7/4/2007,5419
23,2008,116,7/4/2007,126
23,2009,1558,7/4/2007,5505
23,2010,1460,7/4/2007,4627
23,2011,580,7/4/2007,2034
23,2012,96,7/4/2007,173
23,2013,1177,7/4/2007,5427
23,2014,283,7/4/2007,348
23,2015,752,7/4/2007,3136
23,2016,1356,7/4/2007,3467
23,2017,861,7/4/2007,3547
24,2000,48,25/12/2000,158
24,2001,1192,25/12/2000,3443
24,2002,793,25/12/2000,887
24,2003,719,25/12/2000,2744
24,2004,393,25/12/2000,1095
24,2005,705,25/12/2000,1503
24,2006,1321,25/12/2000,3184
24,2007,1304,25/12/2000,2895
24,2008,770,25/12/2000,3009
24,2009,1106,25/12/2000,1172
24,2010,1273,25/12/2000,2436
24,2011,1880,25/12/2000,4426
24,2012,1295,25/12/2000,4668
24,2013,1557,25/12/2000,2065
24,2014,1194,25/12/2000,3027
24,2015,134,25/12/2000,376
24,2016,190,25/12/2000,256
24,2017,1046,25/12/2000,1153
25,2015,1367,2/2/2015,6212
25,2016,1421,2/2/2015,3310
25,2017,1198,2/2/2015,3874
26,2013,222,10/4/2013,628
26,2014,161,10/4/2013,647
26,2015,1777,10/4/2013,5212
26,2016,1576,10/4/2013,2891
26,2017,940,10/4/2013,2501
27,2016,1164,21/2/2016,2069
27,2017,1431,21/2/2016,4392
28,2003,1512,14/1/2003,4384
28,2004,287,14/1/2003,444
28,2005,1153,14/1/2003,1550
28,2006,1156,14/1/2003,2306
28,2007,101,14/1/2003,287
28,2008,1189,14/1/2003,4913
28,2009,1430,14/1/2003,4187
28,2010,1840,14/1/2003,3781
28,2011,1706,14/1/2003,4091
28,2012,1422,14/1/2003,2387
28,2013,1454,14/1/2003,4562
28,2014,143,14/1/2003,697
28,2015,1383,14/1/2003,4119
28,2016,833,14/1/2003,3689
28,2017,1284,14/1/2003,6002
29,1991,1402,10/2/1991,6574
29,1992,148,10/2/1991,273
29,1993,1133,10/2/1991,4740
29,1994,335,10/2/1991,486
29,1995,487,10/2/1991,2058
29,1996,1768,10/2/1991,6833
29,1997,1501,10/2/1991,3251
29,1998,606,10/2/1991,2992
29,1999,468,10/2/1991,1034
29,2000,1380,10/2/1991,5054
29,2001,1362,10/2/1991,5119
29,2002,1207,10/2/1991,3435
29,2003,1591,10/2/1991,7309
29,2004,1904,10/2/1991,7861
29,2005,180,10/2/1991,324
29,2006,1572,10/2/1991,7762
29,2007,610,10/2/1991,2432
29,2008,1735,10/2/1991,5515
29,2009,115,10/2/1991,465
29,2010,224,10/2/1991,287
29,2011,594,10/2/1991,1284
29,2012,1447,10/2/1991,1956
29,2013,976,10/2/1991,2867
29,2014,872,10/2/1991,2054
29,2015,1545,10/2/1991,1995
29,2016,851,10/2/1991,4122
29,2017,975,10/2/1991,1630
30,2005,152,13/12/2005,650
30,2006,243,13/12/2005,982
30,2007,314,13/12/2005,1215
30,2008,1803,13/12/2005,2821
30,2009,1507,13/12/2005,5234
30,2010,1043,13/12/2005,3857
30,2011,1571,13/12/2005,2254
30,2012,407,13/12/2005,588
30,2013,890,13/12/2005,4074
30,2014,1588,13/12/2005,1653
30,2015,1615,13/12/2005,1798
30,2016,1193,13/12/2005,5290
30,2017,1809,13/12/2005,5290
31,2001,914,9/7/2001,4509
31,2002,638,9/7/2001,892
31,2003,1170,9/7/2001,5651
31,2004,1315,9/7/2001,3895
31,2005,374,9/7/2001,666
31,2006,799,9/7/2001,3604
31,2007,1714,9/7/2001,2776
31,2008,1207,9/7/2001,3151
31,2009,1484,9/7/2001,3568
31,2010,1053,9/7/2001,3718
31,2011,140,9/7/2001,341
31,2012,368,9/7/2001,1744
31,2013,475,9/7/2001,2267
31,2014,252,9/7/2001,465
31,2015,1433,9/7/2001,2860
31,2016,356,9/7/2001,455
31,2017,272,9/7/2001,759
32,2004,832,17/7/2004,2898
32,2005,993,17/7/2004,4448
32,2006,401,17/7/2004,1881
32,2007,1389,17/7/2004,2177
32,2008,1113,17/7/2004,5040
32,2009,1475,17/7/2004,6443
32,2010,704,17/7/2004,853
32,2011,245,17/7/2004,726
32,2012,444,17/7/2004,1665
32,2013,1257,17/7/2004,4598
32,2014,568,17/7/2004,833
32,2015,1522,17/7/2004,3008
32,2016,1138,17/7/2004,5154
32,2017,1175,17/7/2004,2880
33,2010,306,26/4/2010,1400
33,2011,961,26/4/2010,2996
33,2012,1797,26/4/2010,2391
33,2013,284,26/4/2010,693
33,2014,1902,26/4/2010,4526
33,2015,1052,26/4/2010,4231
33,2016,1189,26/4/2010,4150
33,2017,375,26/4/2010,1397
34,2017,262,22/5/2017,655
35,1997,302,24/11/1997,805
35,1998,547,24/11/1997,1757
35,1999,529,24/11/1997,614
35,2000,1488,24/11/1997,4023
35,2001,136,24/11/1997,198
35,2002,1401,24/11/1997,4371
35,2003,1751,24/11/1997,5843
35,2004,1751,24/11/1997,2668
35,2005,551,24/11/1997,1955
35,2006,933,24/11/1997,3200
35,2007,842,24/11/1997,1979
35,2008,1908,24/11/1997,9060
35,2009,163,24/11/1997,230
35,2010,450,24/11/1997,1676
35,2011,883,24/11/1997,1452
35,2012,1254,24/11/1997,2005
35,2013,476,24/11/1997,660
35,2014,1048,24/11/1997,1711
35,2015,280,24/11/1997,358
35,2016,870,24/11/1997,2564
35,2017,1385,24/11/1997,1745
36,2009,846,25/2/2009,1685
36,2010,951,25/2/2009,1707
36,2011,406,25/2/2009,1055
36,2012,913,25/2/2009,4212
36,2013,689,25/2/2009,3095
36,2014,1216,25/2/2009,2393
36,2015,1443,25/2/2009,4777
36,2016,177,25/2/2009,751
36,2017,511,25/2/2009,1139
37,2002,233,19/11/2002,390
37,2003,635,19/11/2002,1640
37,2004,1571,19/11/2002,4337
37,2005,595,19/11/2002,1369
37,2006,1453,19/11/2002,6427
37,2007,1783,19/11/2002,3294
37,2008,1631,19/11/2002,5951
37,2009,1294,19/11/2002,4155
37,2010,1811,19/11/2002,2581
37,2011,602,19/11/2002,2466
37,2012,772,19/11/2002,1981
37,2013,1029,19/11/2002,2579
37,2014,1641,19/11/2002,5259
37,2015,497,19/11/2002,2319
37,2016,702,19/11/2002,3182
37,2017,1515,19/11/2002,6863
38,1991,436,24/8/1991,1926
38,1992,1910,24/8/1991,6322
38,1993,1543,24/8/1991,4053
38,1994,192,24/8/1991,608
38,1995,1494,24/8/1991,6651
38,1996,868,24/8/1991,1303
38,1997,205,24/8/1991,230
38,1998,1132,24/8/1991,1602
38,1999,603,24/8/1991,1991
38,2000,323,24/8/1991,622
38,2001,1593,24/8/1991,4738
38,2002,386,24/8/1991,1119
38,2003,1903,24/8/1991,8325
38,2004,602,24/8/1991,1466
38,2005,100,24/8/1991,197
38,2006,293,24/8/1991,1464
38,2007,131,24/8/1991,375
38,2008,1692,24/8/1991,8102
38,2009,173,24/8/1991,566
38,2010,945,24/8/1991,2296
38,2011,1806,24/8/1991,6473
38,2012,1595,24/8/1991,3897
38,2013,1739,24/8/1991,4958
38,2014,1552,24/8/1991,6566
38,2015,1855,24/8/1991,6555
38,2016,1750,24/8/1991,5999
38,2017,1254,24/8/1991,5446
39,2013,490,6/4/2013,2100
39,2014,570,6/4/2013,2689
39,2015,894,6/4/2013,4250
39,2016,1001,6/4/2013,2351
39,2017,1763,6/4/2013,6348
40,2006,859,16/4/2006,2653
40,2007,649,16/4/2006,2085
40,2008,920,16/4/2006,1856
40,2009,1769,16/4/2006,6588
40,2010,1118,16/4/2006,2750
40,2011,1024,16/4/2006,3983
40,2012,231,16/4/2006,427
40,2013,780,16/4/2006,1587
40,2014,619,16/4/2006,1170
40,2015,1491,16/4/2006,2907
40,2016,1771,16/4/2006,5407
40,2017,1837,16/4/2006,4298
41,1990,376,13/9/1990,1221
41,1991,399,13/9/1990,1892
41,1992,268,13/9/1990,1209
41,1993,756,13/9/1990,1900
41,1994,1899,13/9/1990,2208
41,1995,1037,13/9/1990,1835
41,1996,308,13/9/1990,783
41,1997,346,13/9/1990,884
41,1998,943,13/9/1990,4187
41,1999,1371,13/9/1990,5712
41,2000,245,13/9/1990,262
41,2001,135,13/9/1990,406
41,2002,904,13/9/1990,1433
41,2003,1348,13/9/1990,5737
41,2004,1323,13/9/1990,5224
41,2005,1501,13/9/1990,7355
41,2006,1678,13/9/1990,4128
41,2007,511,13/9/1990,2023
41,2008,250,13/9/1990,996
41,2009,1490,13/9/1990,2580
41,2010,1639,13/9/1990,6989
41,2011,315,13/9/1990,935
41,2012,126,13/9/1990,612
41,2013,477,13/9/1990,1204
41,2014,1500,13/9/1990,4537
41,2015,339,13/9/1990,1657
41,2016,1037,13/9/1990,3726
41,2017,921,13/9/1990,3231
42,1993,376,14/8/1993,1628
42,1994,681,14/8/1993,1469
42,1995,601,14/8/1993,744
42,1996,1131,14/8/1993,4530
42,1997,1794,14/8/1993,4615
42,1998,817,14/8/1993,3442
42,1999,1256,14/8/1993,4398
42,2000,175,14/8/1993,858
42,2001,1745,14/8/1993,1933
42,2002,1116,14/8/1993,3635
42,2003,1572,14/8/1993,4206
42,2004,1780,14/8/1993,5935
42,2005,149,14/8/1993,301
42,2006,437,14/8/1993,924
42,2007,106,14/8/1993,225
42,2008,1685,14/8/1993,1762
42,2009,1704,14/8/1993,3549
42,2010,423,14/8/1993,504
42,2011,793,14/8/1993,3896
42,2012,676,14/8/1993,2872
42,2013,742,14/8/1993,1156
42,2014,1575,14/8/1993,1888
42,2015,1889,14/8/1993,4264
42,2016,1732,14/8/1993,2902
42,2017,995,14/8/1993,2007
43,2005,825,9/3/2005,3724
43,2006,530,9/3/2005,2475
43,2007,488,9/3/2005,2155
43,2008,840,9/3/2005,4022
43,2009,1820,9/3/2005,3082
43,2010,208,9/3/2005,331
43,2011,1388,9/3/2005,1962
43,2012,468,9/3/2005,1873
43,2013,601,9/3/2005,614
43,2014,1780,9/3/2005,8091
43,2015,1865,9/3/2005,7716
43,2016,303,9/3/2005,307
43,2017,1352,9/3/2005,3732
44,1994,251,18/3/1994,473
44,1995,198,18/3/1994,898
44,1996,838,18/3/1994,1131
44,1997,1318,18/3/1994,5764
44,1998,1633,18/3/1994,3581
44,1999,1271,18/3/1994,4667
44,2000,1046,18/3/1994,3613
44,2001,1681,18/3/1994,4084
44,2002,1703,18/3/1994,3744
44,2003,1845,18/3/1994,5358
44,2004,470,18/3/1994,2307
44,2005,1908,18/3/1994,8739
44,2006,345,18/3/1994,1710
44,2007,1276,18/3/1994,5953
44,2008,1305,18/3/1994,5626
44,2009,801,18/3/1994,3097
44,2010,474,18/3/1994,599
44,2011,1105,18/3/1994,2545
44,2012,941,18/3/1994,2118
44,2013,1113,18/3/1994,5457
44,2014,1773,18/3/1994,4101
44,2015,389,18/3/1994,1795
44,2016,495,18/3/1994,2057
44,2017,1426,18/3/1994,3845
45,2003,144,6/11/2003,183
45,2004,1332,6/11/2003,2544
45,2005,951,6/11/2003,3026
45,2006,1068,6/11/2003,4998
45,2007,850,6/11/2003,1634
45,2008,1210,6/11/2003,3852
45,2009,810,6/11/2003,2416
45,2010,1307,6/11/2003,5031
45,2011,496,6/11/2003,1980
45,2012,1215,6/11/2003,3075
45,2013,1039,6/11/2003,4194
45,2014,502,6/11/2003,2257
45,2015,1016,6/11/2003,2409
45,2016,1916,6/11/2003,3272
45,2017,617,6/11/2003,2765
46,2016,612,9/5/2016,1253
46,2017,462,9/5/2016,1877
47,1999,1420,25/1/1999,6142
47,2000,1462,25/1/1999,6261
47,2001,820,25/1/1999,1656
47,2002,201,25/1/1999,454
47,2003,1177,25/1/1999,2403
47,2004,381,25/1/1999,642
47,2005,1782,25/1/1999,7103
47,2006,1210,25/1/1999,2457
47,2007,401,25/1/1999,1422
47,2008,1320,25/1/1999,5913
47,2009,666,25/1/1999,2908
47,2010,725,25/1/1999,1535
47,2011,505,25/1/1999,1395
47,2012,463,25/1/1999,2021
47,2013,1805,25/1/1999,1971
47,2014,445,25/1/1999,1000
47,2015,1268,25/1/1999,2077
47,2016,944,25/1/1999,3236
47,2017,1202,25/1/1999,3334
48,2001,1125,27/2/2001,3998
48,2002,1292,27/2/2001,5442
48,2003,1004,27/2/2001,4124
48,2004,1751,27/2/2001,5591
48,2005,883,27/2/2001,2545
48,2006,1088,27/2/2001,2895
48,2007,795,27/2/2001,2527
48,2008,97,27/2/2001,151
48,2009,1246,27/2/2001,5221
48,2010,1522,27/2/2001,2231
48,2011,1370,27/2/2001,6740
48,2012,947,27/2/2001,4382
48,2013,472,27/2/2001,1759
48,2014,1476,27/2/2001,4524
48,2015,1874,27/2/2001,2776
48,2016,346,27/2/2001,1322
48,2017,1671,27/2/2001,3467
49,2008,1668,20/1/2008,8233
49,2009,1698,20/1/2008,5440
49,2010,381,20/1/2008,1652
49,2011,1918,20/1/2008,4361
49,2012,413,20/1/2008,987
49,2013,623,20/1/2008,2563
49,2014,737,20/1/2008,2426
49,2015,1900,20/1/2008,8669
49,2016,189,20/1/2008,769
49,2017,388,20/1/2008,1536
50,2004,659,2/7/2004,1087
50,2005,1163,2/7/2004,3998
50,2006,1480,2/7/2004,6290
50,2007,1496,2/7/2004,3146
50,2008,1800,2/7/2004,8543
50,2009,466,2/7/2004,786
50,2010,602,2/7/2004,2068
50,2011,379,2/7/2004,1732
50,2012,1207,2/7/2004,4030
50,2013,566,2/7/2004,1441
50,2014,474,2/7/2004,1821
50,2015,1379,2/7/2004,1380
50,2016,1179,2/7/2004,1794
50,2017,356,2/7/2004,1461
51,1994,133,19/4/1994,303
51,1995,202,19/4/1994,203
51,1996,847,19/4/1994,1501
51,1997,884,19/4/1994,1588
51,1998,215,19/4/1994,253
51,1999,1501,19/4/1994,7148
51,2000,541,19/4/1994,1865
51,2001,1046,19/4/1994,1461
51,2002,1522,19/4/1994,1696
51,2003,158,19/4/1994,505
51,2004,1442,19/4/1994,4127
51,2005,1278,19/4/1994,5985
51,2006,1478,19/4/1994,4604
51,2007,1059,19/4/1994,1787
51,2008,1289,19/4/1994,1920
51,2009,545,19/4/1994,2023
51,2010,396,19/4/1994,1311
51,2011,1502,19/4/1994,6050
51,2012,1522,19/4/1994,6252
51,2013,1375,19/4/1994,6432
51,2014,349,19/4/1994,1087
51,2015,1818,19/4/1994,6703
51,2016,1179,19/4/1994,1259
51,2017,468,19/4/1994,2094
52,2001,261,28/5/2001,280
52,2002,984,28/5/2001,1772
52,2003,775,28/5/2001,2270
52,2004,1674,28/5/2001,4846
52,2005,1076,28/5/2001,3770
52,2006,356,28/5/2001,1489
52,2007,1282,28/5/2001,5851
52,2008,710,28/5/2001,1149
52,2009,1439,28/5/2001,3973
52,2010,1540,28/5/2001,6026
52,2011,477,28/5/2001,1591
52,2012,1542,28/5/2001,6695
52,2013,276,28/5/2001,781
52,2014,755,28/5/2001,2899
52,2015,127,28/5/2001,383
52,2016,883,28/5/2001,1595
52,2017,1803,28/5/2001,2929
53,1997,660,3/6/1997,2873
53,1998,173,3/6/1997,419
53,1999,877,3/6/1997,1897
53,2000,1250,3/6/1997,4069
53,2001,756,3/6/1997,775
53,2002,869,3/6/1997,3932
53,2003,1314,3/6/1997,6336
53,2004,1261,3/6/1997,6224
53,2005,796,3/6/1997,3873
53,2006,1122,3/6/1997,1262
53,2007,1315,3/6/1997,2393
53,2008,764,3/6/1997,2209
53,2009,132,3/6/1997,524
53,2010,1699,3/6/1997,4813
53,2011,1388,3/6/1997,6526
53,2012,1611,3/6/1997,2626
53,2013,365,3/6/1997,1559
53,2014,701,3/6/1997,3500
53,2015,528,3/6/1997,1776
53,2016,749,3/6/1997,1589
53,2017,1344,3/6/1997,4603
54,2010,534,15/9/2010,1378
54,2011,1854,15/9/2010,5066
54,2012,1892,15/9/2010,2221
54,2013,1160,15/9/2010,5794
54,2014,1850,15/9/2010,7662
54,2015,303,15/9/2010,392
54,2016,457,15/9/2010,1913
54,2017,1357,15/9/2010,3112
55,1996,121,25/12/1996,368
55,1997,1711,25/12/1996,3349
55,1998,199,25/12/1996,678
55,1999,550,25/12/1996,566
55,2000,1087,25/12/1996,4184
55,2001,563,25/12/1996,1618
55,2002,917,25/12/1996,2914
55,2003,845,25/12/1996,3365
55,2004,1101,25/12/1996,2932
55,2005,561,25/12/1996,2466
55,2006,1500,25/12/1996,5920
55,2007,200,25/12/1996,815
55,2008,1040,25/12/1996,4731
55,2009,675,25/12/1996,846
55,2010,470,25/12/1996,659
55,2011,1876,25/12/1996,3812
55,2012,1720,25/12/1996,5927
55,2013,633,25/12/1996,1786
55,2014,252,25/12/1996,1250
55,2015,1743,25/12/1996,6342
55,2016,676,25/12/1996,2277
55,2017,1639,25/12/1996,2900
56,2008,32,2/11/2008,80
56,2009,620,2/11/2008,1837
56,2010,1250,2/11/2008,5281
56,2011,1397,2/11/2008,3813
56,2012,1786,2/11/2008,1843
56,2013,976,2/11/2008,2762
56,2014,1454,2/11/2008,3942
56,2015,305,2/11/2008,931
56,2016,159,2/11/2008,753
56,2017,594,2/11/2008,1860
57,1991,122,10/12/1991,211
57,1992,1045,10/12/1991,2982
57,1993,1765,10/12/1991,5208
57,1994,1354,10/12/1991,5317
57,1995,1048,10/12/1991,2347
57,1996,1662,10/12/1991,2372
57,1997,118,10/12/1991,539
57,1998,1181,10/12/1991,4862
57,1999,1456,10/12/1991,3714
57,2000,343,10/12/1991,1635
57,2001,1472,10/12/1991,1596
57,2002,985,10/12/1991,3342
57,2003,1616,10/12/1991,2440
57,2004,1817,10/12/1991,4951
57,2005,848,10/12/1991,1557
57,2006,1181,10/12/1991,3881
57,2007,808,10/12/1991,3095
57,2008,1300,10/12/1991,3709
57,2009,837,10/12/1991,909
57,2010,1751,10/12/1991,3647
57,2011,904,10/12/1991,4516
57,2012,1237,10/12/1991,4165
57,2013,1053,10/12/1991,1378
